PAC,district,id,left,top,right,bottom,seekinghelpnum,stationnum,hospitalnum,oldpeonum
420104,硚口区,214,878667.5035,3828391.12,879667.5035,3827391.12,0,2,0,0
420104,硚口区,215,878667.5035,3827391.12,879667.5035,3826391.12,0,0,0,0
420104,硚口区,216,878667.5035,3826391.12,879667.5035,3825391.12,0,0,0,0
420104,硚口区,217,878667.5035,3825391.12,879667.5035,3824391.12,0,0,0,0
420105,汉阳区,218,878667.5035,3824391.12,879667.5035,3823391.12,0,2,0,0
420104,硚口区,219,878667.5035,3823391.12,879667.5035,3822391.12,0,0,0,0
420105,汉阳区,220,878667.5035,3822391.12,879667.5035,3821391.12,2,2,1,0
420105,汉阳区,221,878667.5035,3821391.12,879667.5035,3820391.12,4,2,0,1
420105,汉阳区,222,878667.5035,3820391.12,879667.5035,3819391.12,0,0,0,0
420105,汉阳区,223,878667.5035,3819391.12,879667.5035,3818391.12,0,0,0,1
420105,汉阳区,224,878667.5035,3818391.12,879667.5035,3817391.12,0,0,0,1
420105,汉阳区,225,878667.5035,3817391.12,879667.5035,3816391.12,0,0,0,0
420105,汉阳区,226,878667.5035,3816391.12,879667.5035,3815391.12,0,0,0,0
420105,汉阳区,227,878667.5035,3815391.12,879667.5035,3814391.12,0,0,0,0
420103,汉口区,241,879667.5035,3830391.12,880667.5035,3829391.12,0,0,0,0
420103,汉口区,242,879667.5035,3829391.12,880667.5035,3828391.12,0,0,0,0
420104,硚口区,243,879667.5035,3828391.12,880667.5035,3827391.12,0,0,0,0
420103,汉口区,244,879667.5035,3827391.12,880667.5035,3826391.12,0,0,0,0
420103,汉口区,245,879667.5035,3826391.12,880667.5035,3825391.12,0,2,0,0
420104,硚口区,245,879667.5035,3826391.12,880667.5035,3825391.12,0,0,0,0
420103,汉口区,246,879667.5035,3825391.12,880667.5035,3824391.12,0,0,0,0
420104,硚口区,247,879667.5035,3824391.12,880667.5035,3823391.12,0,4,0,0
420104,硚口区,248,879667.5035,3823391.12,880667.5035,3822391.12,0,0,0,0
420105,汉阳区,249,879667.5035,3822391.12,880667.5035,3821391.12,6,0,0,1
420105,汉阳区,250,879667.5035,3821391.12,880667.5035,3820391.12,3,2,0,0
420105,汉阳区,251,879667.5035,3820391.12,880667.5035,3819391.12,0,0,0,1
420105,汉阳区,252,879667.5035,3819391.12,880667.5035,3818391.12,0,0,0,0
420105,汉阳区,253,879667.5035,3818391.12,880667.5035,3817391.12,0,0,0,0
420105,汉阳区,254,879667.5035,3817391.12,880667.5035,3816391.12,0,0,0,0
420105,汉阳区,255,879667.5035,3816391.12,880667.5035,3815391.12,0,0,0,0
420105,汉阳区,256,879667.5035,3815391.12,880667.5035,3814391.12,0,0,0,0
420103,汉口区,270,880667.5035,3830391.12,881667.5035,3829391.12,0,0,0,0
420103,汉口区,271,880667.5035,3829391.12,881667.5035,3828391.12,0,2,0,0
420103,汉口区,272,880667.5035,3828391.12,881667.5035,3827391.12,0,0,0,0
420103,汉口区,273,880667.5035,3827391.12,881667.5035,3826391.12,0,0,0,0
420104,硚口区,274,880667.5035,3826391.12,881667.5035,3825391.12,0,0,0,0
420103,汉口区,275,880667.5035,3825391.12,881667.5035,3824391.12,0,0,0,0
420104,硚口区,276,880667.5035,3824391.12,881667.5035,3823391.12,0,0,0,0
420105,汉阳区,277,880667.5035,3823391.12,881667.5035,3822391.12,0,2,0,0
420105,汉阳区,278,880667.5035,3822391.12,881667.5035,3821391.12,0,0,0,0
420105,汉阳区,279,880667.5035,3821391.12,881667.5035,3820391.12,0,2,0,2
420105,汉阳区,280,880667.5035,3820391.12,881667.5035,3819391.12,0,0,0,1
420105,汉阳区,281,880667.5035,3819391.12,881667.5035,3818391.12,0,0,0,0
420105,汉阳区,282,880667.5035,3818391.12,881667.5035,3817391.12,0,0,0,0
420105,汉阳区,283,880667.5035,3817391.12,881667.5035,3816391.12,0,0,0,0
420105,汉阳区,284,880667.5035,3816391.12,881667.5035,3815391.12,0,0,0,0
420105,汉阳区,285,880667.5035,3815391.12,881667.5035,3814391.12,0,0,0,0
420105,汉阳区,286,880667.5035,3814391.12,881667.5035,3813391.12,0,0,0,0
420103,汉口区,298,881667.5035,3831391.12,882667.5035,3830391.12,0,0,0,0
420103,汉口区,299,881667.5035,3830391.12,882667.5035,3829391.12,0,0,0,0
420103,汉口区,300,881667.5035,3829391.12,882667.5035,3828391.12,0,0,0,0
420103,汉口区,301,881667.5035,3828391.12,882667.5035,3827391.12,0,2,0,0
420103,汉口区,302,881667.5035,3827391.12,882667.5035,3826391.12,0,2,0,3
420103,汉口区,303,881667.5035,3826391.12,882667.5035,3825391.12,1,4,0,3
420103,汉口区,304,881667.5035,3825391.12,882667.5035,3824391.12,0,0,0,1
420104,硚口区,305,881667.5035,3824391.12,882667.5035,3823391.12,5,0,0,0
420104,硚口区,306,881667.5035,3823391.12,882667.5035,3822391.12,5,2,0,0
420105,汉阳区,306,881667.5035,3823391.12,882667.5035,3822391.12,5,2,0,0
420104,硚口区,307,881667.5035,3822391.12,882667.5035,3821391.12,0,0,0,0
420105,汉阳区,308,881667.5035,3821391.12,882667.5035,3820391.12,0,2,0,3
420105,汉阳区,309,881667.5035,3820391.12,882667.5035,3819391.12,1,0,0,0
420105,汉阳区,310,881667.5035,3819391.12,882667.5035,3818391.12,0,0,0,1
420105,汉阳区,311,881667.5035,3818391.12,882667.5035,3817391.12,0,0,0,0
420105,汉阳区,312,881667.5035,3817391.12,882667.5035,3816391.12,0,0,0,0
420105,汉阳区,313,881667.5035,3816391.12,882667.5035,3815391.12,0,4,0,0
420105,汉阳区,314,881667.5035,3815391.12,882667.5035,3814391.12,0,0,0,0
420105,汉阳区,315,881667.5035,3814391.12,882667.5035,3813391.12,0,0,0,0
420102,江岸区,326,882667.5035,3832391.12,883667.5035,3831391.12,0,0,0,0
420103,汉口区,327,882667.5035,3831391.12,883667.5035,3830391.12,0,0,0,0
420103,汉口区,328,882667.5035,3830391.12,883667.5035,3829391.12,0,4,0,0
420102,江岸区,329,882667.5035,3829391.12,883667.5035,3828391.12,0,0,0,0
420103,汉口区,329,882667.5035,3829391.12,883667.5035,3828391.12,0,0,0,0
420103,汉口区,330,882667.5035,3828391.12,883667.5035,3827391.12,0,0,0,1
420103,汉口区,331,882667.5035,3827391.12,883667.5035,3826391.12,1,4,0,5
420103,汉口区,332,882667.5035,3826391.12,883667.5035,3825391.12,4,4,0,1
420104,硚口区,333,882667.5035,3825391.12,883667.5035,3824391.12,4,0,0,1
420104,硚口区,334,882667.5035,3824391.12,883667.5035,3823391.12,2,2,0,0
420104,硚口区,335,882667.5035,3823391.12,883667.5035,3822391.12,7,0,0,0
420105,汉阳区,336,882667.5035,3822391.12,883667.5035,3821391.12,1,0,0,0
420105,汉阳区,337,882667.5035,3821391.12,883667.5035,3820391.12,1,2,0,0
420105,汉阳区,338,882667.5035,3820391.12,883667.5035,3819391.12,4,0,0,0
420105,汉阳区,339,882667.5035,3819391.12,883667.5035,3818391.12,2,0,0,0
420105,汉阳区,340,882667.5035,3818391.12,883667.5035,3817391.12,2,0,0,2
420105,汉阳区,341,882667.5035,3817391.12,883667.5035,3816391.12,0,2,0,0
420105,汉阳区,342,882667.5035,3816391.12,883667.5035,3815391.12,0,0,0,0
420111,洪山区,343,882667.5035,3815391.12,883667.5035,3814391.12,0,0,0,0
420111,洪山区,344,882667.5035,3814391.12,883667.5035,3813391.12,0,0,0,0
420111,洪山区,345,882667.5035,3813391.12,883667.5035,3812391.12,0,0,0,0
420102,江岸区,353,883667.5035,3834391.12,884667.5035,3833391.12,0,0,0,0
420102,江岸区,354,883667.5035,3833391.12,884667.5035,3832391.12,0,0,0,0
420102,江岸区,355,883667.5035,3832391.12,884667.5035,3831391.12,0,2,0,1
420102,江岸区,356,883667.5035,3831391.12,884667.5035,3830391.12,0,2,0,2
420102,江岸区,357,883667.5035,3830391.12,884667.5035,3829391.12,0,0,0,1
420102,江岸区,358,883667.5035,3829391.12,884667.5035,3828391.12,0,0,0,0
420102,江岸区,359,883667.5035,3828391.12,884667.5035,3827391.12,0,4,0,0
420103,汉口区,360,883667.5035,3827391.12,884667.5035,3826391.12,0,2,0,0
420102,江岸区,361,883667.5035,3826391.12,884667.5035,3825391.12,0,2,0,0
420102,江岸区,362,883667.5035,3825391.12,884667.5035,3824391.12,3,4,0,0
420103,汉口区,362,883667.5035,3825391.12,884667.5035,3824391.12,3,4,0,0
420103,汉口区,363,883667.5035,3824391.12,884667.5035,3823391.12,13,2,1,0
420104,硚口区,364,883667.5035,3823391.12,884667.5035,3822391.12,1,2,0,0
420104,硚口区,365,883667.5035,3822391.12,884667.5035,3821391.12,0,2,0,0
420105,汉阳区,366,883667.5035,3821391.12,884667.5035,3820391.12,3,4,0,0
420105,汉阳区,367,883667.5035,3820391.12,884667.5035,3819391.12,0,2,0,1
420105,汉阳区,368,883667.5035,3819391.12,884667.5035,3818391.12,2,0,0,1
420105,汉阳区,369,883667.5035,3818391.12,884667.5035,3817391.12,1,2,0,1
420105,汉阳区,370,883667.5035,3817391.12,884667.5035,3816391.12,0,0,0,0
420105,汉阳区,371,883667.5035,3816391.12,884667.5035,3815391.12,0,0,0,0
420111,洪山区,372,883667.5035,3815391.12,884667.5035,3814391.12,0,0,0,0
420111,洪山区,373,883667.5035,3814391.12,884667.5035,3813391.12,0,0,0,0
420111,洪山区,374,883667.5035,3813391.12,884667.5035,3812391.12,0,0,0,0
420102,江岸区,381,884667.5035,3835391.12,885667.5035,3834391.12,0,0,0,0
420102,江岸区,382,884667.5035,3834391.12,885667.5035,3833391.12,0,0,0,0
420102,江岸区,383,884667.5035,3833391.12,885667.5035,3832391.12,0,0,0,0
420102,江岸区,384,884667.5035,3832391.12,885667.5035,3831391.12,0,0,0,1
420102,江岸区,385,884667.5035,3831391.12,885667.5035,3830391.12,0,0,0,2
420102,江岸区,386,884667.5035,3830391.12,885667.5035,3829391.12,2,0,0,1
420102,江岸区,387,884667.5035,3829391.12,885667.5035,3828391.12,6,2,0,2
420102,江岸区,388,884667.5035,3828391.12,885667.5035,3827391.12,1,0,0,0
420103,汉口区,389,884667.5035,3827391.12,885667.5035,3826391.12,2,6,0,0
420102,江岸区,390,884667.5035,3826391.12,885667.5035,3825391.12,4,0,0,0
420102,江岸区,391,884667.5035,3825391.12,885667.5035,3824391.12,11,0,2,0
420103,汉口区,392,884667.5035,3824391.12,885667.5035,3823391.12,4,2,0,0
420104,硚口区,392,884667.5035,3824391.12,885667.5035,3823391.12,4,2,0,0
420103,汉口区,393,884667.5035,3823391.12,885667.5035,3822391.12,1,2,2,0
420105,汉阳区,394,884667.5035,3822391.12,885667.5035,3821391.12,0,0,0,0
420105,汉阳区,395,884667.5035,3821391.12,885667.5035,3820391.12,0,0,0,0
420105,汉阳区,396,884667.5035,3820391.12,885667.5035,3819391.12,0,2,0,0
420105,汉阳区,397,884667.5035,3819391.12,885667.5035,3818391.12,0,0,0,0
420105,汉阳区,398,884667.5035,3818391.12,885667.5035,3817391.12,0,0,0,0
420105,汉阳区,399,884667.5035,3817391.12,885667.5035,3816391.12,0,0,0,0
420111,洪山区,400,884667.5035,3816391.12,885667.5035,3815391.12,0,0,0,0
420111,洪山区,401,884667.5035,3815391.12,885667.5035,3814391.12,0,0,0,0
420111,洪山区,402,884667.5035,3814391.12,885667.5035,3813391.12,0,0,0,0
420111,洪山区,403,884667.5035,3813391.12,885667.5035,3812391.12,0,0,0,0
420111,洪山区,404,884667.5035,3812391.12,885667.5035,3811391.12,0,0,0,0
420102,江岸区,410,885667.5035,3835391.12,886667.5035,3834391.12,0,0,0,0
420102,江岸区,411,885667.5035,3834391.12,886667.5035,3833391.12,0,0,0,0
420102,江岸区,412,885667.5035,3833391.12,886667.5035,3832391.12,0,2,0,0
420102,江岸区,413,885667.5035,3832391.12,886667.5035,3831391.12,0,2,0,1
420102,江岸区,414,885667.5035,3831391.12,886667.5035,3830391.12,4,0,0,0
420102,江岸区,415,885667.5035,3830391.12,886667.5035,3829391.12,7,0,0,1
420102,江岸区,416,885667.5035,3829391.12,886667.5035,3828391.12,4,4,0,0
420102,江岸区,417,885667.5035,3828391.12,886667.5035,3827391.12,5,2,0,0
420102,江岸区,418,885667.5035,3827391.12,886667.5035,3826391.12,5,2,1,0
420102,江岸区,419,885667.5035,3826391.12,886667.5035,3825391.12,8,4,0,0
420103,汉口区,420,885667.5035,3825391.12,886667.5035,3824391.12,0,4,1,0
420102,江岸区,421,885667.5035,3824391.12,886667.5035,3823391.12,2,6,1,0
420103,汉口区,422,885667.5035,3823391.12,886667.5035,3822391.12,0,0,0,0
420104,硚口区,423,885667.5035,3822391.12,886667.5035,3821391.12,0,0,0,0
420105,汉阳区,424,885667.5035,3821391.12,886667.5035,3820391.12,0,0,0,0
420105,汉阳区,425,885667.5035,3820391.12,886667.5035,3819391.12,0,0,0,0
420105,汉阳区,426,885667.5035,3819391.12,886667.5035,3818391.12,0,0,0,0
420106,武昌区,426,885667.5035,3819391.12,886667.5035,3818391.12,0,0,0,0
420105,汉阳区,427,885667.5035,3818391.12,886667.5035,3817391.12,0,0,0,0
420106,武昌区,428,885667.5035,3817391.12,886667.5035,3816391.12,0,0,0,0
420106,武昌区,429,885667.5035,3816391.12,886667.5035,3815391.12,0,0,0,0
420106,武昌区,430,885667.5035,3815391.12,886667.5035,3814391.12,0,0,0,0
420111,洪山区,430,885667.5035,3815391.12,886667.5035,3814391.12,0,0,0,0
420111,洪山区,431,885667.5035,3814391.12,886667.5035,3813391.12,0,0,0,0
420111,洪山区,432,885667.5035,3813391.12,886667.5035,3812391.12,0,0,0,0
420111,洪山区,433,885667.5035,3812391.12,886667.5035,3811391.12,0,0,0,0
420102,江岸区,438,886667.5035,3836391.12,887667.5035,3835391.12,0,0,0,0
420102,江岸区,439,886667.5035,3835391.12,887667.5035,3834391.12,0,0,0,0
420102,江岸区,440,886667.5035,3834391.12,887667.5035,3833391.12,0,0,0,0
420102,江岸区,441,886667.5035,3833391.12,887667.5035,3832391.12,0,2,0,0
420102,江岸区,442,886667.5035,3832391.12,887667.5035,3831391.12,0,2,0,0
420102,江岸区,443,886667.5035,3831391.12,887667.5035,3830391.12,3,2,0,1
420102,江岸区,444,886667.5035,3830391.12,887667.5035,3829391.12,3,2,0,0
420102,江岸区,445,886667.5035,3829391.12,887667.5035,3828391.12,4,2,0,3
420102,江岸区,446,886667.5035,3828391.12,887667.5035,3827391.12,3,4,0,0
420102,江岸区,447,886667.5035,3827391.12,887667.5035,3826391.12,1,4,0,0
420102,江岸区,448,886667.5035,3826391.12,887667.5035,3825391.12,2,0,0,0
420102,江岸区,449,886667.5035,3825391.12,887667.5035,3824391.12,0,0,1,0
420102,江岸区,450,886667.5035,3824391.12,887667.5035,3823391.12,0,0,2,0
420103,汉口区,451,886667.5035,3823391.12,887667.5035,3822391.12,0,0,0,0
420105,汉阳区,452,886667.5035,3822391.12,887667.5035,3821391.12,0,0,0,0
420106,武昌区,452,886667.5035,3822391.12,887667.5035,3821391.12,0,0,0,0
420106,武昌区,453,886667.5035,3821391.12,887667.5035,3820391.12,0,0,0,0
420106,武昌区,454,886667.5035,3820391.12,887667.5035,3819391.12,0,0,0,0
420106,武昌区,455,886667.5035,3819391.12,887667.5035,3818391.12,0,0,0,0
420106,武昌区,456,886667.5035,3818391.12,887667.5035,3817391.12,0,0,0,0
420106,武昌区,457,886667.5035,3817391.12,887667.5035,3816391.12,0,0,0,0
420111,洪山区,457,886667.5035,3817391.12,887667.5035,3816391.12,0,0,0,0
420111,洪山区,458,886667.5035,3816391.12,887667.5035,3815391.12,0,0,0,0
420111,洪山区,459,886667.5035,3815391.12,887667.5035,3814391.12,0,0,0,0
420111,洪山区,460,886667.5035,3814391.12,887667.5035,3813391.12,0,0,0,0
420111,洪山区,461,886667.5035,3813391.12,887667.5035,3812391.12,0,0,0,0
420111,洪山区,462,886667.5035,3812391.12,887667.5035,3811391.12,0,0,0,0
420102,江岸区,467,887667.5035,3836391.12,888667.5035,3835391.12,0,0,0,0
420102,江岸区,468,887667.5035,3835391.12,888667.5035,3834391.12,0,0,0,0
420102,江岸区,469,887667.5035,3834391.12,888667.5035,3833391.12,0,0,0,0
420102,江岸区,470,887667.5035,3833391.12,888667.5035,3832391.12,0,0,0,0
420102,江岸区,471,887667.5035,3832391.12,888667.5035,3831391.12,0,0,0,0
420102,江岸区,472,887667.5035,3831391.12,888667.5035,3830391.12,7,0,0,3
420102,江岸区,473,887667.5035,3830391.12,888667.5035,3829391.12,0,4,0,2
420102,江岸区,474,887667.5035,3829391.12,888667.5035,3828391.12,1,2,1,1
420102,江岸区,475,887667.5035,3828391.12,888667.5035,3827391.12,0,0,1,0
420102,江岸区,476,887667.5035,3827391.12,888667.5035,3826391.12,0,0,0,0
420106,武昌区,477,887667.5035,3826391.12,888667.5035,3825391.12,0,0,0,0
420102,江岸区,478,887667.5035,3825391.12,888667.5035,3824391.12,0,0,0,0
420102,江岸区,479,887667.5035,3824391.12,888667.5035,3823391.12,0,0,0,0
420106,武昌区,479,887667.5035,3824391.12,888667.5035,3823391.12,0,0,0,0
420106,武昌区,480,887667.5035,3823391.12,888667.5035,3822391.12,0,2,0,0
420106,武昌区,481,887667.5035,3822391.12,888667.5035,3821391.12,3,0,0,0
420106,武昌区,482,887667.5035,3821391.12,888667.5035,3820391.12,2,0,0,2
420106,武昌区,483,887667.5035,3820391.12,888667.5035,3819391.12,6,4,1,0
420106,武昌区,484,887667.5035,3819391.12,888667.5035,3818391.12,0,0,1,0
420106,武昌区,485,887667.5035,3818391.12,888667.5035,3817391.12,0,0,0,0
420106,武昌区,486,887667.5035,3817391.12,888667.5035,3816391.12,0,0,0,0
420111,洪山区,486,887667.5035,3817391.12,888667.5035,3816391.12,0,0,0,0
420111,洪山区,487,887667.5035,3816391.12,888667.5035,3815391.12,0,0,0,0
420111,洪山区,488,887667.5035,3815391.12,888667.5035,3814391.12,0,0,0,0
420111,洪山区,489,887667.5035,3814391.12,888667.5035,3813391.12,0,0,0,0
420111,洪山区,490,887667.5035,3813391.12,888667.5035,3812391.12,0,0,0,0
420111,洪山区,491,887667.5035,3812391.12,888667.5035,3811391.12,0,0,0,0
420102,江岸区,496,888667.5035,3836391.12,889667.5035,3835391.12,0,0,0,0
420102,江岸区,497,888667.5035,3835391.12,889667.5035,3834391.12,0,0,0,0
420102,江岸区,498,888667.5035,3834391.12,889667.5035,3833391.12,0,2,0,0
420102,江岸区,499,888667.5035,3833391.12,889667.5035,3832391.12,0,4,0,0
420102,江岸区,500,888667.5035,3832391.12,889667.5035,3831391.12,0,2,0,0
420102,江岸区,501,888667.5035,3831391.12,889667.5035,3830391.12,1,0,0,2
420102,江岸区,502,888667.5035,3830391.12,889667.5035,3829391.12,1,0,0,0
420102,江岸区,503,888667.5035,3829391.12,889667.5035,3828391.12,1,0,0,2
420106,武昌区,504,888667.5035,3828391.12,889667.5035,3827391.12,0,0,0,0
420102,江岸区,505,888667.5035,3827391.12,889667.5035,3826391.12,0,0,0,0
420106,武昌区,505,888667.5035,3827391.12,889667.5035,3826391.12,0,0,0,0
420102,江岸区,506,888667.5035,3826391.12,889667.5035,3825391.12,2,0,0,0
420106,武昌区,507,888667.5035,3825391.12,889667.5035,3824391.12,0,0,0,0
420106,武昌区,508,888667.5035,3824391.12,889667.5035,3823391.12,0,0,0,0
420106,武昌区,509,888667.5035,3823391.12,889667.5035,3822391.12,0,2,0,0
420111,洪山区,509,888667.5035,3823391.12,889667.5035,3822391.12,0,2,0,0
420106,武昌区,510,888667.5035,3822391.12,889667.5035,3821391.12,7,4,0,0
420106,武昌区,511,888667.5035,3821391.12,889667.5035,3820391.12,5,2,2,2
420106,武昌区,512,888667.5035,3820391.12,889667.5035,3819391.12,2,2,0,4
420106,武昌区,513,888667.5035,3819391.12,889667.5035,3818391.12,0,2,0,3
420111,洪山区,514,888667.5035,3818391.12,889667.5035,3817391.12,0,2,0,0
420106,武昌区,515,888667.5035,3817391.12,889667.5035,3816391.12,0,0,0,0
420106,武昌区,516,888667.5035,3816391.12,889667.5035,3815391.12,0,2,0,0
420111,洪山区,517,888667.5035,3815391.12,889667.5035,3814391.12,0,0,0,0
420111,洪山区,518,888667.5035,3814391.12,889667.5035,3813391.12,0,2,0,0
420111,洪山区,519,888667.5035,3813391.12,889667.5035,3812391.12,0,0,0,0
420111,洪山区,520,888667.5035,3812391.12,889667.5035,3811391.12,0,0,0,0
420102,江岸区,524,889667.5035,3837391.12,890667.5035,3836391.12,0,0,0,0
420102,江岸区,525,889667.5035,3836391.12,890667.5035,3835391.12,0,0,0,0
420102,江岸区,526,889667.5035,3835391.12,890667.5035,3834391.12,0,4,0,0
420102,江岸区,527,889667.5035,3834391.12,890667.5035,3833391.12,0,0,0,0
420102,江岸区,528,889667.5035,3833391.12,890667.5035,3832391.12,0,0,0,0
420102,江岸区,529,889667.5035,3832391.12,890667.5035,3831391.12,0,0,0,0
420102,江岸区,530,889667.5035,3831391.12,890667.5035,3830391.12,0,0,0,0
420106,武昌区,531,889667.5035,3830391.12,890667.5035,3829391.12,0,0,0,0
420102,江岸区,532,889667.5035,3829391.12,890667.5035,3828391.12,0,0,0,0
420102,江岸区,533,889667.5035,3828391.12,890667.5035,3827391.12,0,0,0,0
420106,武昌区,533,889667.5035,3828391.12,890667.5035,3827391.12,0,0,0,0
420106,武昌区,534,889667.5035,3827391.12,890667.5035,3826391.12,1,0,0,0
420106,武昌区,535,889667.5035,3826391.12,890667.5035,3825391.12,2,4,0,0
420106,武昌区,536,889667.5035,3825391.12,890667.5035,3824391.12,5,2,0,0
420111,洪山区,537,889667.5035,3824391.12,890667.5035,3823391.12,0,0,0,0
420111,洪山区,538,889667.5035,3823391.12,890667.5035,3822391.12,0,0,0,0
420106,武昌区,539,889667.5035,3822391.12,890667.5035,3821391.12,2,2,0,1
420106,武昌区,540,889667.5035,3821391.12,890667.5035,3820391.12,2,0,0,1
420106,武昌区,541,889667.5035,3820391.12,890667.5035,3819391.12,2,0,0,2
420106,武昌区,542,889667.5035,3819391.12,890667.5035,3818391.12,0,2,0,4
